year,winner_name,category,work_title,data_source
1992,"The Kentucky Cycle","Drama","","Wikidata"
1992,"Robert Schenkkan","Drama","The Kentucky Cycle","Wikidata"
1991,"Mona Van Duyn","Poetry","","Wikidata"
1991,"Near Changes","Poetry","","Wikidata"
1991,"David Shaw","General","","Wikidata"
1991,"Neil Simon","Drama","Lost in Yonkers","Wikidata"
1991,"Lost in Yonkers","Drama","","Wikidata"
1990,"Charles Simic","Poetry","The World Doesn't End","Wikidata"
1990,"The Mercury News","General","","Wikidata"
1990,"August Wilson","Drama","The Piano Lesson","Wikidata"
1990,"The Piano Lesson","Drama","","Wikidata"
1989,"Wendy Wasserstein","Drama","The Heidi Chronicles","Wikidata"
1989,"Richard Wilbur","Poetry","","Wikidata"
1989,"The Heidi Chronicles","Drama","","Wikidata"
1988,"Driving Miss Daisy","Drama","","Wikidata"
1988,"William Morris Meredith","Poetry","","Wikidata"
1988,"Alfred Uhry","Drama","Driving Miss Daisy","Wikidata"
1987,"Rita Dove","Poetry","","Wikidata"
1987,"Andrés Oppenheimer","General","","Wikidata"
1987,"Fences","Drama","","Wikidata"
1987,"August Wilson","Drama","Fences","Wikidata"
1986,"The Mercury News","General","","Wikidata"
1986,"Henry S. Taylor","Poetry","","Wikidata"
1985,"Carolyn Kizer","Poetry","","Wikidata"
1985,"Stephen Sondheim","Drama","Sunday in the Park with George","Wikidata"
1985,"Sunday in the Park with George","Drama","","Wikidata"
1985,"James Lapine","Drama","Sunday in the Park with George","Wikidata"
1984,"Mary Oliver","Poetry","American primitive","Wikidata"
1984,"David Mamet","Drama","Glengarry Glen Ross","Wikidata"
1984,"Glengarry Glen Ross","Drama","","Wikidata"
1983,"Galway Kinnell","Poetry","","Wikidata"
1983,"Marsha Norman","Drama","'night, Mother","Wikidata"
1983,"'night, Mother","Drama","","Wikidata"
1982,"Charles Fuller","Drama","A Soldier's Play","Wikidata"
1982,"A Soldier's Play","Drama","","Wikidata"
1982,"Sylvia Plath","Poetry","","Wikidata"
1981,"James Schuyler","Poetry","","Wikidata"
